FIPS,stn
01133,KALARLEY17
01069,KALASHFO4
01099,KALATMOR3
01117,KALBIRMI318
01055,KALGADSD3
01095,KALGUNTE6
01097,KALMOBIL7
01051,KALMONTG10
01063,KALMOUND5
01081,KALOPELI24
01029,KALOXFOR14
01033,KALSHEFF8
01059,KALTUSCU7
01111,KALWEDOW6
05029,KARATKIN5
05063,KARBATES10
05125,KARBENTO113
05089,KARCOTTE9
05149,KARDARDA10
05115,KARDOVER4
05143,KARFAYET65
05047,KARHARTM2
05023,KARHEBER7
05087,KARHINDS3
05051,KARMOUNT56
05055,KARPARAG11
40001,KARSUMME4
04017,KAZHAPPY4
04009,KAZPIMA9
04001,KAZSNOWF15
06033,KCACLEAR14
06015,KCACRESC27
06019,KCAFRESN164
32031,KCAJANES5
06043,KCAMARIP80
06021,KCAORLAN5
06007,KCAOROVI68
06069,KCAPAICI5
06089,KCAPALOC13
06103,KCAREDBL17
06081,KCAREDWO252
06055,KCASAINT13
06085,KCASANJO63
06111,KCASANTA671
06107,KCASPRIN77
06037,KCASUNLA26
06035,KCASUSAN21
06101,KCAYUBAC10
08047,KCOBLACK10
08014,KCOBROOM146
08053,KCOCREED10
08079,KCOCREED10
08123,KCOGOODR2
08077,KCOGRAND153
08085,KCOMONTR56
08007,KCOPAGOS105
08101,KCOPUEBL13
08091,KCORIDGW22
08075,KCOSTERL30
08001,KCOSTRAS26
08005,KCOSTRAS26
08027,KCOWESTC74
09009,KCTNAUGA24
09013,KCTTOLLA31
10001,KDECAMDE16
10003,KDENEWCA23
12089,KFLCALLA17
12129,KFLCRAWF52
12093,KFLFELLS8
12111,KFLFORTP58
12047,KFLFORTU2
12033,KFLGONZA12
12085,KFLINDIA343
12125,KFLLAKEB2
12079,KFLLEE13
12099,KFLLOXAH49
12063,KFLMARIA19
12086,KFLMIAMI411
12095,KFLORLAN11
12005,KFLPANAM165
12097,KFLSTCLO49
12073,KFLTALLA65
12041,KFLTRENT9
12061,KFLVEROB34
13089,KGAAVOND4
13161,KGABAXLE9
13289,KGABONAI20
13143,KGABOWDO5
13269,KGABUTLE3
13007,KGACAIRO20
13205,KGACAIRO20
13057,KGACANTO15
13045,KGACARRO43
13213,KGACHATS32
13295,KGACHICK2
13287,KGACHULA2
13137,KGACLARK10
13241,KGACLAYT17
13217,KGACOVIN30
13319,KGADUBLI2
13175,KGADUBLI8
13141,KGAEATON17
13237,KGAEATON9
13123,KGAELLIJ66
13017,KGAFITZG5
13155,KGAFITZG5
13225,KGAFORTV2
13255,KGAGRIFF44
13281,KGAHIAWA44
13149,KGAHOGAN3
13157,KGAJEFFE22
13067,KGAMARIE294
13151,KGAMCDON7
13035,KGAMILNE4
13297,KGAMONRO5
13321,KGAPEBBL3
13153,KGAPERRY18
13193,KGAPERRY9
13043,KGAPORTA4
13107,KGAPORTA4
13027,KGAQUITM3
13115,KGAROME35
13227,KGATALKI4
13189,KGATHOMS3
13277,KGATIFTO21
13257,KGATOCCO3
13083,KGATRENT3
13221,KGAWINTE6
13039,KGAWOODB21
19109,KIABURT5
19007,KIACENTE20
29171,KIACENTE20
19175,KIACREST6
19177,KIADONNE9
19023,KIADUMON2
19063,KIAESTHE8
19165,KIAHARLA18
19073,KIAJEFFE7
19079,KIAKAMRA2
19125,KIAKNOXV2
19035,KIALARRA2
19055,KIAMANCH1
19099,KIANEWTO9
27047,KIANORTH23
19061,KIAPEOST3
19151,KIAPOCAH2
19167,KIASIOUX5
19039,KIASTCHA5
19071,KIATHURM3
19121,KIAVANME8
19037,KIAWAUCO1
19105,KIAWYOMI7
16055,KIDCOEUR87
16047,KIDHAGER8
16053,KIDJEROM2
16001,KIDKUNA16
16087,KIDMIDVA5
16073,KIDMOUNT26
16077,KIDPOCAT56
17131,KILALEDO1
17039,KILBEASO7
17055,KILBENTO8
17091,KILBOURB18
17053,KILBUCKL2
17073,KILGENES6
17135,KILHILLS7
17061,KILJERSE5
17071,KILKIRKW8
17095,KILKNOXV2
17109,KILMACOM13
17197,KILMANHA17
17199,KILMARIO5
17063,KILMORRI18
17159,KILOLNEY5
17165,KILPITTS11
17007,KILPOPLA16
17155,KILPUTNA4
17033,KILROBIN3
17051,KILSAINT11
17173,KILSHELB3
17167,KILSPRIN98
17157,KILSTEEL6
17021,KILTAYLO10
18151,KINANGOL4
18105,KINBLOOM144
18179,KINBLUFF14
18173,KINBOONV17
18019,KINCHARL18
18061,KINCORYD11
18089,KINCROWN49
18149,KINCULVE11
18063,KINDANVI13
18003,KINFORTW57
18175,KINFREDE2
18133,KINGREEN66
18059,KINGREEN98
18069,KINHUNTI19
18111,KINKENTL4
18041,KINLIBER4
18161,KINLIBER4
18109,KINMARTI11
18001,KINMONRO31
