model_type,ensemble,mean,std_mean,median,std_median
Excluding mobility data,False,15.093462407550756,0.22504524972398818,3.3172025891112207,0.15241033960678024
Excluding mobility data,True,14.898181226103492,,3.2661817581937087,
Including mobility data,False,14.364915314897615,0.3177926949441036,3.3377842181198383,0.20633420544377828
Including mobility data,True,14.141530149240587,,3.1380396949235285,
